framing,turn,survival,ci_lower,ci_upper
baseline_flagship,0.0,1.0,1.0,1.0
baseline_flagship,1.0,0.9,0.7211929022579642,0.9666070369914564
baseline_flagship,2.0,0.7124999999999997,0.5051970126424267,0.845115224642749
baseline_flagship,4.0,0.7124999999999997,0.5051970126424267,0.845115224642749
baseline_flagship,5.0,0.7124999999999997,0.5051970126424267,0.845115224642749
baseline_flagship,6.0,0.7124999999999997,0.5051970126424267,0.845115224642749
baseline_flagship,7.0,0.7124999999999997,0.5051970126424267,0.845115224642749
baseline_flagship,8.0,0.5937499999999998,0.3048167412755178,0.795537236465166
baseline_flagship,9.0,0.5937499999999998,0.3048167412755178,0.795537236465166
baseline_flagship,10.0,0.5937499999999998,0.3048167412755178,0.795537236465166
baseline_flagship,14.0,0.5937499999999998,0.3048167412755178,0.795537236465166
baseline_flagship,15.0,0.5937499999999998,0.3048167412755178,0.795537236465166
flagship_corruption,0.0,1.0,1.0,1.0
flagship_corruption,1.0,0.9,0.7211929022579642,0.9666070369914564
flagship_corruption,2.0,0.8640000000000002,0.6767241791140243,0.9467462462845605
flagship_corruption,3.0,0.7888695652173916,0.5880333369082005,0.8994938255247729
flagship_corruption,4.0,0.74504347826087,0.5353588629968707,0.8705480529349431
flagship_corruption,5.0,0.6918260869565223,0.46942395962033884,0.8357021993806907
flagship_corruption,6.0,0.6289328063241112,0.39335033197576375,0.79415583049968
flagship_corruption,7.0,0.6289328063241112,0.39335033197576375,0.79415583049968
flagship_corruption,8.0,0.6289328063241112,0.39335033197576375,0.79415583049968
flagship_corruption,9.0,0.5241106719367593,0.25559159066905784,0.736415589262989
flagship_corruption,10.0,0.5241106719367593,0.25559159066905784,0.736415589262989
flagship_corruption,12.0,0.5241106719367593,0.25559159066905784,0.736415589262989
flagship_corruption,13.0,0.5241106719367593,0.25559159066905784,0.736415589262989
flagship_corruption,15.0,0.5241106719367593,0.25559159066905784,0.736415589262989
